code,chinese_name,latin_name,plant,part,role,filename,width_px,height_px,format,status,formal_hd_asset,sha256,source_title,source_page,source_width,source_height,author,license,license_url,source_query
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,hero,bc007-jinyinhua-hero-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,6ee801b9712d7d940c1bd7e9aa5efb971a0afca3487683ce8fa204bd6c3fa094,File:Lonicera japonica flowers and pink buds - Fukufukurou.jpg,https://commons.wikimedia.org/wiki/File:Lonicera_japonica_flowers_and_pink_buds_-_Fukufukurou.jpg,3000,3000,Fukufukurou,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lonicera japonica flower bud
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,specimen,bc007-jinyinhua-specimen-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,3687f40624f132a36fa3c8cbb0c90ad312f31340de4b1efae83a6031f9445134,File:Honeysuckle flowers.jpg,https://commons.wikimedia.org/wiki/File:Honeysuckle_flowers.jpg,1280,856,"Bill T from Houston, USA",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lonicera japonica flowers
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,detail-01,bc007-jinyinhua-detail-01-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,29cfa14b080ae080e606a7cfb5e7f901ee2d79239349e63da0a85192d1d2af2c,File:Japanese Honeysuckle (Lonicera japonica) 1.jpg,https://commons.wikimedia.org/wiki/File:Japanese_Honeysuckle_(Lonicera_japonica)_1.jpg,3920,2204,Mokkie,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Japanese honeysuckle
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,detail-02,bc007-jinyinhua-detail-02-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,c58237807c771a5ce8ab59b4caab856e52b2c78eed5a7072c291d0276bd5dd49,File:Lonicera japonica flowers and pink buds - Fukufukurou.jpg,https://commons.wikimedia.org/wiki/File:Lonicera_japonica_flowers_and_pink_buds_-_Fukufukurou.jpg,3000,3000,Fukufukurou,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lonicera japonica flower bud
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,detail-03,bc007-jinyinhua-detail-03-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,dcc375080e1401237981c3a627490f3aa732c5cc4d56b5a2c643dfbf7f902bbb,File:Honeysuckle flowers.jpg,https://commons.wikimedia.org/wiki/File:Honeysuckle_flowers.jpg,1280,856,"Bill T from Houston, USA",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Lonicera japonica flowers
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,detail-04,bc007-jinyinhua-detail-04-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,f81748165bcec031ca3f3c8d79bbc8be2878cb97b74105400e722444659a99ca,File:Japanese Honeysuckle (Lonicera japonica) 1.jpg,https://commons.wikimedia.org/wiki/File:Japanese_Honeysuckle_(Lonicera_japonica)_1.jpg,3920,2204,Mokkie,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Japanese honeysuckle
BC.007,金银花,Lonicerae Japonicae Flos,Lonicera japonica,干燥花蕾或初开的花,detail-05,bc007-jinyinhua-detail-05-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,b5c510c6fb61f2197167db6ccbf76a4f12ee1d6de53f66a756c7ae5daed92b10,File:Lonicera japonica flowers and pink buds - Fukufukurou.jpg,https://commons.wikimedia.org/wiki/File:Lonicera_japonica_flowers_and_pink_buds_-_Fukufukurou.jpg,3000,3000,Fukufukurou,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lonicera japonica flower bud
BC.008,山楂,Crataegi Fructus,Crataegus pinnatifida,干燥成熟果实,hero,bc008-shanzha-hero-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,a6372aaf02cd52d83ef5f92d249d017425d5818ee996bd8986182118d9ac166e,File:HawthornFruit.JPG,https://commons.wikimedia.org/wiki/File:HawthornFruit.JPG,1920,2560,Yongxinge,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Crataegus pinnatifida fruit
BC.008,山楂,Crataegi Fructus,Crataegus pinnatifida,干燥成熟果实,specimen,bc008-shanzha-specimen-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,c3a4d62022e18da1dec1d97f550ad2edece704378c112f3ab1ce55b928426095,File:HK herbal 山楂片 sliced Shan Zha cooked Crataegus pinnatifida Bung October 2025 N13P.jpg,https://commons.wikimedia.org/wiki/File:HK_herbal_%E5%B1%B1%E6%A5%82%E7%89%87_sliced_Shan_Zha_cooked_Crataegus_pinnatifida_Bung_October_2025_N13P.jpg,4080,3060,SZE XAIMMOOA HONGMIN,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Crataegus pinnatifida
BC.008,山楂,Crataegi Fructus,Crataegus pinnatifida,干燥成熟果实,detail-01,bc008-shanzha-detail-01-v1.webp,1122,1402,WEBP,formal_hd_asset,yes,7c4bd4d8f0634bb8d61694a9cbd21eed2be94b6679604321b3c3d1489cab3b4e,"File:Crataegus pinnatifida fruit (detail), Yongin.jpg","https://commons.wikimedia.org/wiki/File:Crataegus_pinnatifida_fruit_(detail),_Yongin.jpg",1600,1200,No machine-readable author provided. PuzzletChung assumed (based on copyright claims).,Public domain,,Crataegus pinnatifida fruit
